order_id,customer_id,product_id,order_date,qty,unit_price,discount_pct,status
O0003,C042,P013,,1,1390.08,10,pending
O0004,C013,P001,,3,996.79,0,paid
O0005,C041,P002,,4,757.5,5,paid
O0006,C044,P004,,2,390.89,5,paid
O0007,C046,P001,,-2,996.79,0,paid
O0008,C015,P005,,3,1299.0,0,pending
O0009,C055,P013,,2,1390.08,10,pending
O0010,C009,P008,,4,330.64,0,pending
O0011,C036,P010,,3,1072.6,5,paid
O0012,C007,P012,,1,686.96,0,pending
O0014,C033,P002,,1,757.5,5,cancelled
O0015,C027,P013,,3,1390.08,0,paid
O0016,C052,P014,,1,586.17,0,paid
O0017,C035,P006,,2,1322.8,0,cancelled
O0018,C058,P012,,4,686.96,0,paid
O0019,C029,P009,,3,754.77,0,cancelled
O0021,C014,P005,,2,1299.0,150,cancelled
O0022,C032,P004,,4,390.89,0,cancelled
O0023,C001,P010,,4,1072.6,0,cancelled
O0024,C059,P007,,1,344.97,0,paid
O0025,C005,P015,,4,750.94,10,completed
O0026,C016,P008,,4,330.64,5,pending
O0027,C058,P014,,4,586.17,5,paid
O0029,C003,P004,,2,390.89,0,completed
O0030,C021,P012,,3,686.96,10,paid
O0031,C032,P012,,1,686.96,5,paid
O0032,C045,P009,,4,754.77,10,pending
O0033,C053,P009,,2,754.77,0,cancelled
O0034,C041,P004,,2,390.89,0,paid
O0035,C059,P012,,3,686.96,5,cancelled
O0036,C021,P015,,2,750.94,0,paid
O0037,C009,P015,,2,750.94,0,completed
O0038,C025,P002,,4,757.5,0,paid
O0039,C026,P011,,1,1236.35,0,cancelled
O0040,C044,P006,,3,1322.8,5,cancelled
O0041,C044,P014,,2,586.17,10,paid
O0042,C002,P001,,4,996.79,0,paid
O0043,C008,P004,,2,390.89,5,paid
O0044,C038,P001,,2,996.79,0,paid
O0045,C021,P007,,4,344.97,5,pending
O0046,C014,P010,,3,1072.6,0,paid
O0048,C059,P004,,2,390.89,0,completed
O0049,C999,P002,,4,757.5,0,cancelled
O0051,C053,P015,,4,750.94,5,cancelled
O0052,C045,P006,,4,1322.8,10,paid
O0054,C007,P001,,3,996.79,0,paid
O0056,C037,P003,,1,503.9,10,paid
O0057,C045,P002,,4,757.5,0,paid
O0059,C033,P001,,2,996.79,0,paid
O0061,C037,P014,,1,586.17,0,cancelled
O0062,C039,P011,,1,1236.35,0,pending
O0063,C031,P003,,4,503.9,0,pending
O0064,C032,P007,,3,344.97,10,cancelled
O0065,C020,P006,,3,1322.8,5,cancelled
O0066,C060,P005,,3,1299.0,0,paid
O0067,C038,P001,,2,996.79,10,paid
O0068,C058,P006,,4,1322.8,5,paid
O0069,C052,P015,,2,750.94,10,completed
O0070,C049,P004,,1,390.89,0,pending
O0071,C010,P014,,2,586.17,0,paid
O0072,C040,P007,,4,344.97,0,paid
O0073,C023,P009,,2,754.77,5,pending
O0074,C009,P011,,4,1236.35,5,cancelled
O0075,C044,P007,,3,344.97,0,completed
O0076,C047,P999,,2,503.9,0,cancelled
O0079,C016,P009,,2,754.77,0,paid
O0080,C018,P005,,4,1299.0,0,paid
O0081,C015,P009,,3,754.77,0,paid
O0082,C036,P004,,3,390.89,10,completed
O0083,C014,P006,,3,1322.8,0,paid
O0084,C052,P002,,4,757.5,0,pending
O0085,C028,P012,,3,686.96,0,completed
O0087,C042,P006,,1,1322.8,5,paid
O0088,C035,P002,,4,757.5,10,pending
O0089,C020,P014,,1,586.17,5,paid
O0091,C019,P015,,2,-100.0,5,completed
O0093,C039,P015,,3,750.94,5,pending
O0094,C021,P004,,4,390.89,0,paid
O0095,C024,P014,,3,586.17,5,pending
O0096,C038,P007,,2,344.97,5,pending
O0097,C035,P003,,2,503.9,0,pending
O0098,C057,P014,,3,586.17,0,cancelled
O0099,C004,P009,,2,754.77,5,paid
O0100,C042,P014,,4,586.17,5,cancelled
O0102,C006,P001,,2,996.79,10,paid
O0103,C046,P004,,4,390.89,5,pending
O0105,C032,P009,,1,754.77,0,pending
O0106,C049,P014,,3,586.17,10,paid
O0107,C057,P008,,1,330.64,5,paid
O0108,C052,P002,,4,757.5,0,paid
O0109,C048,P003,,4,503.9,5,paid
O0112,C059,P001,,4,996.79,10,paid
O0113,C021,P002,,2,757.5,5,paid
O0114,C038,P004,,4,390.89,0,pending
O0115,C012,P015,,3,750.94,0,completed
O0117,C059,P006,,1,1322.8,0,pending
O0118,C004,P004,,2,390.89,5,paid
O0119,C043,P015,,2,750.94,10,completed
O0120,C029,P013,,2,1390.08,0,pending
O0121,C011,P013,,3,1390.08,5,cancelled
O0122,C009,P011,,3,1236.35,0,paid
O0123,C037,P013,,2,1390.08,0,paid
O0125,C046,P009,,1,754.77,10,paid
O0126,C048,P010,,3,1072.6,0,pending
O0127,C013,P015,,1,750.94,0,paid
O0128,C035,P007,,4,344.97,5,completed
O0129,C020,P007,,1,344.97,5,pending
O0131,C007,P011,,4,1236.35,0,pending
O0132,C001,P014,,4,586.17,0,completed
O0133,C037,P002,,4,757.5,0,cancelled
O0134,C010,P005,,4,1299.0,5,completed
O0137,C037,P008,,3,330.64,10,paid
O0138,C007,P003,,1,503.9,0,paid
O0139,C013,P007,,1,344.97,0,paid
O0140,C015,P001,,2,996.79,10,pending
O0141,C050,P002,,3,757.5,0,paid
O0142,C050,P003,,4,503.9,5,pending
O0143,C040,P001,,4,996.79,5,paid
O0145,C022,P005,,4,1299.0,10,paid
O0146,C033,P006,,3,1322.8,0,completed
O0147,C050,P009,,3,754.77,0,completed
O0148,C040,P009,,2,754.77,0,cancelled
O0149,C046,P012,,2,686.96,0,paid
O0150,C050,P002,,2,757.5,10,cancelled
O0152,C018,P008,,1,330.64,0,paid
O0153,C058,P010,,1,1072.6,5,paid
O0154,C059,P012,,3,686.96,0,paid
O0156,C049,P010,,3,1072.6,0,cancelled
O0157,C036,P013,,1,1390.08,0,pending
O0159,C038,P011,,1,1236.35,0,pending
O0160,C030,P001,,2,996.79,10,paid
O0162,C016,P010,,3,1072.6,0,paid
O0163,C026,P008,,1,330.64,5,pending
O0165,C054,P015,,4,750.94,0,cancelled
O0166,C008,P015,,3,750.94,10,pending
O0167,C058,P001,,3,996.79,5,cancelled
O0168,C058,P007,,4,344.97,5,completed
O0169,C057,P010,,1,1072.6,0,pending
O0170,C016,P009,,4,754.77,10,paid
O0171,C034,P015,,2,750.94,5,pending
O0173,C052,P003,,2,503.9,0,paid
O0174,C007,P009,,2,754.77,10,paid
O0175,C019,P004,,3,390.89,5,paid
O0176,C005,P008,,4,330.64,10,paid
O0177,C023,P012,,2,686.96,5,paid
O0179,C010,P015,,4,750.94,0,completed
O0180,C055,P015,,1,750.94,5,completed
