order_id,order_datetime,customer_id,product_id,quantity,unit_price,discount_pct,payment_method,sales_channel,updated_at,source_batch,_is_duplicate,gross_amount,net_amount,reason_code
O000083,2026-02-05 11:37:00,,P039,4.0,688.83,5,Cash,Online,2026-02-06 23:59:00,orders_batch_1,False,2755.32,2617.554,FK_CUSTOMER_NOT_FOUND
O000089,2026-03-04 08:25:00,C0030,P035,-2.0,997.99,10,Credit Card,Online,2026-03-05 23:59:00,orders_batch_1,False,-1995.98,-1796.382,INVALID_QUANTITY_RANGE
O000097,,C0110,P040,5.0,1472.44,0,Bank Transfer,Online,2026-03-03 23:59:00,orders_batch_1,False,7362.200000000001,7362.200000000001,INVALID_DATETIME
O000101,2026-02-28 22:40:00,C0151,P029,3.0,450.41,120,Credit Card,Store,2026-03-01 23:59:00,orders_batch_1,False,1351.23,-270.2459999999999,INVALID_DISCOUNT_RANGE
O000107,2026-03-03 15:13:00,C0130,P999,1.0,766.0,15,PromptPay,Store,2026-03-04 23:59:00,orders_batch_1,False,766.0,651.1,FK_PRODUCT_NOT_FOUND
O000113,2026-01-03 03:35:00,C0039,P011,,616.6,0,PromptPay,Marketplace,2026-01-04 23:59:00,orders_batch_1,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000127,2026-02-14 13:29:00,C0009,P038,1.0,,0,Credit Card,Marketplace,2026-02-15 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000131,,C0152,P037,1.0,185.91,5,Bank Transfer,Marketplace,2026-02-17 23:59:00,orders_batch_1,False,185.91,176.6145,INVALID_DATETIME
O000139,2026-02-03 21:12:00,C0072,P039,4.0,,5,Cash,Online,2026-02-04 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000149,2026-01-08 12:33:00,C9999,P039,4.0,688.83,10,PromptPay,Marketplace,2026-01-09 23:59:00,orders_batch_1,False,2755.32,2479.788,FK_CUSTOMER_NOT_FOUND
O000166,2026-01-18 04:01:00,,P027,4.0,817.79,10,PromptPay,Online,2026-01-19 23:59:00,orders_batch_1,False,3271.16,2944.044,FK_CUSTOMER_NOT_FOUND
O000178,2026-02-16 01:47:00,C0061,P026,-2.0,1185.43,0,PromptPay,Marketplace,2026-02-17 23:59:00,orders_batch_1,False,-2370.86,-2370.86,INVALID_QUANTITY_RANGE
O000194,,C0075,P003,3.0,344.85,10,Cash,Online,2026-03-20 23:59:00,orders_batch_1,False,1034.5500000000002,931.0950000000001,INVALID_DATETIME
O000202,2026-01-15 10:38:00,C0161,P031,3.0,599.9,120,Credit Card,Online,2026-01-16 23:59:00,orders_batch_1,False,1799.6999999999998,-359.9399999999999,INVALID_DISCOUNT_RANGE
O000214,2026-01-04 07:12:00,C0043,P999,6.0,1451.77,0,PromptPay,Store,2026-01-05 23:59:00,orders_batch_1,False,8710.619999999999,8710.619999999999,FK_PRODUCT_NOT_FOUND
O000226,2026-03-21 10:12:00,C0153,P017,,1281.37,0,Bank Transfer,Online,2026-03-22 23:59:00,orders_batch_1,False,,,INVALID_QUANTITY_TYPE;INVALID_QUANTITY_RANGE
O000249,2026-02-07 21:50:00,,P025,5.0,833.67,15,Credit Card,Online,2026-02-08 23:59:00,orders_batch_1,False,4168.349999999999,3543.0974999999994,FK_CUSTOMER_NOT_FOUND
O000254,2026-01-04 03:25:00,C0002,P043,6.0,,15,PromptPay,Online,2026-01-05 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000262,,C0097,P044,5.0,766.0,0,Credit Card,Store,2026-02-03 23:59:00,orders_batch_1,False,3830.0,3830.0,INVALID_DATETIME
O000267,2026-01-02 16:42:00,C0095,P042,-2.0,733.19,0,PromptPay,Marketplace,2026-01-03 23:59:00,orders_batch_1,False,-1466.38,-1466.38,INVALID_QUANTITY_RANGE
O000278,2026-02-01 02:14:00,C0022,P035,4.0,,0,PromptPay,Marketplace,2026-02-02 23:59:00,orders_batch_1,False,,,INVALID_PRICE_TYPE;INVALID_PRICE_RANGE
O000291,,C0165,P041,2.0,1291.92,0,Cash,Online,2026-01-06 23:59:00,orders_batch_1,False,2583.84,2583.84,INVALID_DATETIME
O000298,2026-01-14 00:46:00,C9999,P037,2.0,185.91,10,Bank Transfer,Store,2026-01-15 23:59:00,orders_batch_1,False,371.82,334.638,FK_CUSTOMER_NOT_FOUND
O000303,2026-03-02 22:11:00,C0137,P007,4.0,619.54,120,PromptPay,Online,2026-03-03 23:59:00,orders_batch_1,False,2478.16,-495.63199999999983,INVALID_DISCOUNT_RANGE
O000321,2026-01-12 07:42:00,C0073,P999,5.0,624.66,10,Bank Transfer,Online,2026-01-13 23:59:00,orders_batch_1,False,3123.2999999999997,2810.97,FK_PRODUCT_NOT_FOUND
O000332,2026-02-18 19:38:00,,P017,4.0,1281.37,0,Bank Transfer,Marketplace,2026-02-19 23:59:00,orders_batch_1,False,5125.48,5125.48,FK_CUSTOMER_NOT_FOUND
