product_key,product_id,product_name,category,standard_price,active_flag
1,P001,Notebook Model 01,Notebook,299,Y
2,P002,Smartphone Model 02,Smartphone,1490,Y
3,P003,Smartphone Model 03,Smartphone,25900,Y
4,P004,Smart Home Model 04,Smart Home,1490,Y
5,P005,Smartphone Model 05,Smartphone,299,Y
6,P006,Accessory Model 06,Accessory,299,Y
7,P007,Notebook Model 07,Notebook,25900,Y
8,P008,Accessory Model 08,Accessory,499,Y
9,P009,Notebook Model 09,Notebook,299,Y
10,P010,Smart Home Model 10,Smart Home,990,Y
11,P011,Accessory Model 11,Accessory,25900,Y
12,P012,Accessory Model 12,Accessory,990,Y
13,P013,Smart Home Model 13,Smart Home,499,Y
14,P014,Notebook Model 14,Notebook,990,Y
15,P015,Notebook Model 15,Notebook,299,Y
16,P016,Accessory Model 16,Accessory,1490,Y
17,P017,Smartphone Model 17,Smartphone,990,Y
18,P018,Smartphone Model 18,Smartphone,3990,Y
19,P019,Smartphone Model 19,Smartphone,3990,Y
20,P020,Smart Home Model 20,Smart Home,499,Y
21,P021,Smart Home Model 21,Smart Home,25900,Y
22,P022,Accessory Model 22,Accessory,499,Y
23,P023,Accessory Model 23,Accessory,299,Y
24,P024,Accessory Model 24,Accessory,299,Y
25,P025,Accessory Model 25,Accessory,25900,Y
26,P026,Smart Home Model 26,Smart Home,12900,Y
27,P027,Smartphone Model 27,Smartphone,25900,Y
28,P028,Smartphone Model 28,Smartphone,299,Y
29,P029,Notebook Model 29,Notebook,3990,Y
30,P030,Smartphone Model 30,Smartphone,499,Y
31,P031,Smart Home Model 31,Smart Home,1490,Y
32,P032,Notebook Model 32,Notebook,25900,Y
33,P033,Smart Home Model 33,Smart Home,12900,Y
34,P034,Accessory Model 34,Accessory,299,Y
35,P035,Accessory Model 35,Accessory,25900,Y
36,P036,Notebook Model 36,Notebook,299,Y
37,P037,Smart Home Model 37,Smart Home,25900,Y
38,P038,Smartphone Model 38,Smartphone,12900,N
39,P039,Notebook Model 39,Notebook,990,N
40,P040,Accessory Model 40,Accessory,3990,N
